"Name","Rarity","Level","Price"
Thundermace,Uncommon,"0","2 sp"
Tripod,Common,"0","2 sp"
Waterproof Carrying Case,Common,"0","2 sp"
Caltrops,Common,"0","3 sp"
Forked Bipod,Common,"0","3 sp"
Katar,Uncommon,"0","3 sp"
Knuckle Duster,Common,"0","3 sp"
Light Hammer,Common,"0","3 sp"
Manacles (Poor),Common,"0","3 sp"
Spiked Gauntlet,Common,"0","3 sp"
Thieves' Tools (Replacement Picks),Common,"0","3 sp"
Throwing Knife,Common,"0","3 sp"
Turtle,Common,"0","3 sp"
War Razor,Common,"0","3 sp"
Clothing (Winter),Common,"0","4 sp"
Hatchet,Common,"0","4 sp"
Light Mace,Common,"0","4 sp"
Light Pick,Common,"0","4 sp"
Piranha Kiss,Uncommon,"0","4 sp"
Qat,Common,"0","4 sp"
Rations,Common,"0","4 sp (1 week)"
Rungu,Common,"0","4 sp"
Tool (Short),Common,"0","4 sp"
Basic Cane,Common,"0","5 sp"
Basic Chair,Common,"0","5 sp"
Basic Corrective Lenses,Common,"0","5 sp"
Basic Crutch,Common,"0","5 sp"
Basic Hearing Aid,Common,"0","5 sp"
Basic Prosthesis,Common,"0","5 sp"
Bloodeye Coffee,Common,"0","5 sp"
Bola,Uncommon,"0","5 sp"
Cage,Common,"0","5 sp"
Chakram,Common,"0","5 sp"
Climbing Kit,Common,"0","5 sp"
Crowbar,Common,"0","5 sp"
Duck,Common,"0","5 sp"
Dueling Cape,Common,"0","5 sp"
False-Bottomed Mug,Uncommon,"0","5 sp"
Fighting Stick,Uncommon,"0","5 sp"
Games,Common,"0","5 sp (-5 gp, see text)"
Hand Adze,Common,"0","5 sp"
Handling Gloves,Common,"0","5 sp"
Longspear,Common,"0","5 sp"
Main-gauche,Common,"0","5 sp"
Material Component Pouch,Common,"0","5 sp"
Parrying Scabbard,Common,"0","5 sp"
Pig,Common,"0","5 sp"
Playing Cards,Common,"0","5 sp"
Probing Cane,Common,"0","5 sp"
Probing Cane,Common,"0","5 sp"
Reinforced Frame,Common,"0","5 sp"
Reinforced Wheels,Common,"0","5 sp"
Rope,Common,"0","5 sp (50 ft.)"
Ruler,Common,"0","5 sp"
Scorpion Whip,Uncommon,"0","5 sp"
Shears,Uncommon,"0","5 sp"
Shield Boss,Common,"0","5 sp"
Shield Spikes,Common,"0","5 sp"
Splint,Common,"0","5 sp"
Support,Common,"0","5 sp"
Tear-Away Clothing,Common,"0","5 sp"
The Old Mage Deck,Common,"0","5 sp"
Toy Carriage,Common,"0","5 sp"
Waffle Iron,Common,"0","5 sp"
Wheel Blades,Common,"0","5 sp"
Wheel Blades,Common,"0","5 sp"
Wheel Spikes,Common,"0","5 sp"
Wheel Spikes,Common,"0","5 sp"
Wheelbarrow,Common,"0","5 sp"
Chest,Common,"0","6 sp"
Kukri,Uncommon,"0","6 sp"
Magazine (Air Repeater),Uncommon,"0","6 sp"
Mambele,Uncommon,"0","6 sp"
Sai,Uncommon,"0","6 sp"
Lantern (Hooded),Common,"0","7 sp"
Machete,Common,"0","7 sp"
Orc Knuckle Dagger,Uncommon,"0","7 sp"
Pick,Common,"0","7 sp"
Squirrel,Common,"0","7 sp"
Fishing Tackle,Common,"0","8 sp"
Flail,Common,"0","8 sp"
Fox,Common,"0","8 sp"
Harness,Common,"0","8 sp"
Magazine (Long Air Repeater),Uncommon,"0","8 sp"
Musical Instrument (Handheld),Common,"0","8 sp"
Shield Augmentation,Uncommon,"0","8 sp"
Tent (Pup),Common,"0","8 sp"
Tri-Bladed Katar,Uncommon,"0","8 sp"
Horsechopper,Uncommon,"0","9 sp"
Nine-Ring Sword,Uncommon,"0","9 sp"
Repeating Crossbow Magazine,Uncommon,"0","9 sp"
Repeating Hand Crossbow Magazine,Uncommon,"0","9 sp"
Repeating Heavy Crossbow Magazine,Uncommon,"0","9 sp"
Shortsword,Common,"0","9 sp"
Adze,Common,"0","1 gp"
Battle Axe,Common,"0","1 gp"
Beehive,Common,"0","1 gp"
Boarding Axe,Uncommon,"0","1 gp"
Brass Ear,Common,"0","1 gp"
Buckler,Common,"0","1 gp"
Chair Storage,Common,"0","1 gp"
Compass,Common,"0","1 gp"
Cookware,Common,"0","1 gp"
Dart Umbrella,Uncommon,"0","1 gp"
Depth Gauge,Uncommon,"0","1 gp"
Fake Blood Pack,Common,"0","1 gp"
Filcher's Fork,Uncommon,"0","1 gp"
Flayleaf,Common,"0","1 gp"
Formula Book (Blank),Common,"0","1 gp"
Gaff,Common,"0","1 gp"
Glaive,Common,"0","1 gp"
Greatclub,Common,"0","1 gp"
Griffon  Cane,Common,"0","1 gp"
Griffon Cane,Common,"0","1 gp"
Harrow Carrying Case,Common,"0","1 gp"
Harrow Deck (Simple),Common,"0","1 gp"
Kama,Uncommon,"0","1 gp"
Lance,Common,"0","1 gp"
Lantern (Bull's-Eye),Common,"0","1 gp"
Lion Scythe,Uncommon,"0","1 gp"
Lizard (X's),Common,"0","1 gp"
Longsword,Common,"0","1 gp"
Mace,Common,"0","1 gp"
Marked Playing Cards,Common,"0","1 gp"
Mirror,Common,"0","1 gp"
Morningstar,Common,"0","1 gp"
Net,Common,"0","1 gp"
Nightstick,Uncommon,"0","1 gp"
Ogre Hook,Uncommon,"0","1 gp"
Paint Set,Common,"0","1 gp"
Rabbit,Common,"0","1 gp"
Religious Text,Common,"0","1 gp"
Rubbing Set,Uncommon,"0","1 gp"
Scimitar,Common,"0","1 gp"
Shootist Bandolier,Uncommon,"0","1 gp"
Snake,Common,"0","1 gp"
Spellbook (Blank),Common,"0","1 gp"
Tank (Stationary),Common,"0","1 gp"
Tool (Long),Common,"0","1 gp"
Trident,Common,"0","1 gp"
Wakizashi,Uncommon,"0","1 gp"
Warhammer,Common,"0","1 gp"
Wax Key Blank,Uncommon,"0","1 gp"
Wooden Shield,Common,"0","1 gp"
Writing Set,Common,"0","1 gp"
Fighting Fan,Uncommon,"0","1 gp, 1 sp"
Fauchard,Common,"0","1 gp, 4 sp"
Adventurer's Pack,Common,"0","1 gp, 5 sp"
Badger,Common,"0","1 gp, 5 sp"
Traitor's Ring,Uncommon,"0","1 gp, 5 sp"
Armored Skirt,Common,"0","2 gp"
Bladed Diabolo,Uncommon,"0","2 gp"
Butterfly Sword,Uncommon,"0","2 gp"
Clan Dagger,Uncommon,"0","2 gp"
Claw Blade,Uncommon,"0","2 gp"
Clothing (Fine),Common,"0","2 gp"
Disguise Kit,Common,"0","2 gp"
Dueling Spear,Uncommon,"0","2 gp"
Extendible Pincer,Uncommon,"0","2 gp"
Gill Hook,Uncommon,"0","2 gp"
Gnome Hooked Hammer,Uncommon,"0","2 gp"
Greataxe,Common,"0","2 gp"
Greatpick,Common,"0","2 gp"
Greatsword,Common,"0","2 gp"
Guisarme,Common,"0","2 gp"
Halberd,Common,"0","2 gp"
Hide Armor,Common,"0","2 gp"
Horse,Common,"0","2 gp"
Jellyfish Lamp,Common,"0","2 gp"
Karambit,Uncommon,"0","2 gp"
Katana,Uncommon,"0","2 gp"
Khakkara,Uncommon,"0","2 gp"
Khopesh,Uncommon,"0","2 gp"
Kusarigama,Uncommon,"0","2 gp"
Leather Armor,Common,"0","2 gp"
Leiomano,Uncommon,"0","2 gp"
Mask (Fine),Common,"0","2 gp"
Musical Instrument (Heavy),Common,"0","2 gp"
Opossum, domestic,Common,"0","2 gp"
Orc Necksplitter,Uncommon,"0","2 gp"
Pantograph Gauntlet,Uncommon,"0","2 gp"
Ranseur,Common,"0","2 gp"
Rapier,Common,"0","2 gp"
Reinforced Surcoat,Uncommon,"0","2 gp"
Religious Symbol (Silver),Common,"0","2 gp"
Repair Kit,Common,"0","2 gp"
Scythe,Common,"0","2 gp"
Shauth Blade,Uncommon,"0","2 gp"
Starknife,Common,"0","2 gp"
Steel Shield,Common,"0","2 gp"
Temple Sword,Uncommon,"0","2 gp"
Urumi,Uncommon,"0","2 gp"
War Flail,Common,"0","2 gp"
Wind and Fire Wheel,Uncommon,"0","2 gp"
Wish Knife,Uncommon,"0","2 gp"
Bladed Hoop,Uncommon,"0","2 gp, 5 sp"
Alchemist's Tools,Common,"0","3 gp"
Bat,Common,"0","3 gp"
Bladed Scarf,Uncommon,"0","3 gp"
Cart,Common,"0","3 gp"
Comealong,Uncommon,"0","3 gp"
Crossbow,Common,"0","3 gp"
Dwarven War Axe,Uncommon,"0","3 gp"
Elven Branched Spear,Uncommon,"0","3 gp"
Falchion,Common,"0","3 gp"
Folding Ladder,Common,"0","3 gp"
Gnome Flickmace,Uncommon,"0","3 gp"
Grappling Gun,Uncommon,"0","3 gp"
Hand Crossbow,Common,"0","3 gp"
Hollowed Hilt,Uncommon,"0","3 gp"
Hook Sword,Uncommon,"0","3 gp"
Hourglass,Common,"0","3 gp"
Injection Spear,Uncommon,"0","3 gp"
Maul,Common,"0","3 gp"
Meteor Hammer,Common,"0","3 gp"
Monkey,Common,"0","3 gp"
Naginata,Uncommon,"0","3 gp"
Shortbow,Common,"0","3 gp"
Spiked Chain,Uncommon,"0","3 gp"
Studded Leather Armor,Common,"0","3 gp"
Sun Sling,Uncommon,"0","3 gp"
Thieves' Tools,Common,"0","3 gp"
Artisan's Tools,Common,"0","4 gp"
Bastard Sword,Common,"0","4 gp"
Buugeng,Uncommon,"0","4 gp"
Chain,Common,"0","4 gp"
Elven Curve Blade,Uncommon,"0","4 gp"
Fangwire,Uncommon,"0","4 gp"
Heavy Crossbow,Common,"0","4 gp"
Rhoka Sword,Uncommon,"0","4 gp"
Scale Mail,Common,"0","4 gp"
Tack,Common,"0","4 gp"
Tengu Gale Blade,Uncommon,"0","4 gp"
Umbrella Injector,Uncommon,"0","4 gp"
War Lance,Uncommon,"0","4 gp"
Air repeater,Uncommon,"0","5 gp"
Aklys,Uncommon,"0","5 gp"
Alchemist's Lab,Common,"0","5 gp"
Bladed Gauntlet,Uncommon,"0","5 gp"
Buoyancy Vest,Common,"0","5 gp"
Chain Shirt,Common,"0","5 gp"
Clan Pistol,Uncommon,"0","5 gp"
Familiar Satchel,Uncommon,"0","5 gp"
Fire Lance,Uncommon,"0","5 gp"
Fire Poi,Uncommon,"0","5 gp"
Glass Cutter,Uncommon,"0","5 gp"
Halfling Sling Staff,Uncommon,"0","5 gp"
Hand Cannon,Uncommon,"0","5 gp"
Healer's Tools,Common,"0","5 gp"
Kayalini,Common,"0","5 gp"
Knight's Standard,Uncommon,"0","5 gp"
Membership Cords,Uncommon,"0","5 gp"
Raccoon,Common,"0","5 gp"
Sawtooth Saber,Uncommon,"0","5 gp"
Sickle-Saber,Uncommon,"0","5 gp"
Snare Kit,Common,"0","5 gp"
Spiral Rapier,Uncommon,"0","5 gp"
Swim Fins,Common,"0","5 gp"
Sword Cane,Common,"0","5 gp"
Tamchal Chakram,Uncommon,"0","5 gp"
Tent (Four-Person),Common,"0","5 gp"
Thunder Sling,Uncommon,"0","5 gp"
Water Purifier,Uncommon,"0","5 gp"
Whip Claw,Uncommon,"0","5 gp"
Wish Blade,Uncommon,"0","5 gp"
Chain Mail,Common,"0","6 gp"
Coat Pistol,Uncommon,"0","6 gp"
Flingflenser,Uncommon,"0","6 gp"
Flintlock Pistol,Uncommon,"0","6 gp"
Longbow,Common,"0","6 gp"
Double-Barreled Pistol,Uncommon,"0","7 gp"
Flintlock Musket,Uncommon,"0","7 gp"
Black Powder Knuckle Dusters,Uncommon,"0","8 gp"
Blunderbuss,Uncommon,"0","8 gp"
Breastplate,Common,"0","8 gp"
Butchering Axe,Uncommon,"0","8 gp"
Cane Pistol,Uncommon,"0","8 gp"
Cow,Common,"0","8 gp"
Dagger Pistol,Uncommon,"0","8 gp"
Daikyu,Uncommon,"0","8 gp"
Harrow Mat,Common,"0","8 gp"
Shauth Lash,Uncommon,"0","8 gp"
Dragon Mouth Pistol,Uncommon,"0","9 gp"
Long Air Repeater,Uncommon,"0","9 gp"
Mithral Tree,Uncommon,"0","9 gp"
Arquebus,Uncommon,"0","10 gp"
Asp Coil,Uncommon,"0","10 gp"
Barding (Light; Small or Medium),Common,"0","10 gp"
Bird (House Eagle),Common,"0","10 gp"
Cat (Galtan Orange),Common,"0","10 gp"
Cold Iron Chunk,Common,"0","10 gp"
Dinosaur,Common,"0","10 gp"
False Manacles,Uncommon,"0","10 gp"
Harmona Gun,Uncommon,"0","10 gp"
Harrow Deck (Common),Common,"0","10 gp"
Light Chariot,Common,"0","10 gp"
Rapier Pistol,Uncommon,"0","10 gp"
Silver Chunk,Common,"0","10 gp"
Snowshoes,Common,"0","10 gp"
Tank (Traveling),Common,"0","10 gp"
Taw Launcher,Uncommon,"0","10 gp"
Tower Shield,Common,"0","10 gp"
Tricky Pick,Uncommon,"0","10 gp"
Harrow Deck (Fine),Common,"0","11 gp (+)"
Hongali Hornbow,Uncommon,"0","11 gp"
Pepperbox,Uncommon,"0","12 gp"
Mace Multipistol,Uncommon,"0","13 gp"
Composite Shortbow,Common,"0","14 gp"
Battle Lute,Uncommon,"0","15 gp"
Glider,Uncommon,"0","15 gp"
Piercing Wind,Uncommon,"0","15 gp"
Rowboat,Common,"0","15 gp"
Armored Coat,Common,"0","20 gp"
Barding (Light; Large),Common,"0","20 gp"
Clockwork Dial,Uncommon,"0","20 gp"
Composite Longbow,Common,"0","20 gp"
Sisterstone Chunk,Rare,"0","20 gp"
Spyglass,Common,"0","20 gp"
Alchemical Crossbow,Uncommon,"0","25 gp"
Barding (Heavy; Small or Medium),Common,"0","25 gp"
Axolotl,Common,"0","40 gp"
Barding (Heavy; Large),Common,"0","50 gp"
Cradle Minder,Common,"0","50 gp"
Alpaca,Common,"0","75 gp"
Cold Iron Ingot,Common,"0","100 gp"
Silver Ingot,Common,"0","100 gp"
Sisterstone Ingot,Rare,"0","200 gp"
Abysium Chunk,Rare,"0","450 gp"
Adamantine Chunk,Uncommon,"0","500 gp"
Darkwood Branch,Uncommon,"0","500 gp"
Mithral Chunk,Uncommon,"0","500 gp"
Siccatite Chunk,Rare,"0","500 gp"
Inubrix Chunk,Rare,"0","550 gp"
Djezet Mass,Rare,"0","600 gp"
Noqual Chunk,Rare,"0","600 gp"
Peachwood Branch,Uncommon,"0","600 gp"
Sovereign Steel Chunk,Rare,"0","700 gp"
Warpglass Chunk,Rare,"0","800 gp"
Orichalcum Chunk,Rare,"0","1,000 gp"
Abysium Ingot,Rare,"0","4,500 gp"
Adamantine Ingot,Uncommon,"0","5,000 gp"
Darkwood Lumber,Uncommon,"0","5,000 gp"
Mithral Ingot,Uncommon,"0","5,000 gp"
Siccatite Ingot,Rare,"0","5,000 gp"
Inubrix Ingot,Rare,"0","5,500 gp"
Djezet Alloy Ingot,Rare,"0","6,000 gp"
Noqual Ingot,Rare,"0","6,000 gp"
Peachwood Lumber,Uncommon,"0","6,000 gp"
Sovereign Steel Ingot,Rare,"0","7,000 gp"
Warpglass Ingot,Rare,"0","8,000 gp"
Orichalcum Ingot,Rare,"0","10,000 gp"
Portable Weapon Mount (Monopod),Uncommon,"1","2 sp"
Tindertwig,Common,"1","2 sp"
Boarding Pike,Uncommon,"1","8 sp"
Combat Grapnel,Uncommon,"1","9 sp"
Popdust,Uncommon,"1","1 gp"
Surprise Doll,Common,"1","1 gp"
Addiction Suppressant (Lesser),Rare,"1","2 gp"
Aldori Dueling Sword,Uncommon,"1","2 gp"
Lock (Simple),Common,"1","2 gp"
Magnetic Construction Set,Common,"1","2 gp"
Puzzle Box (Complex),Common,"1","2 gp"
Refined Pesh,Common,"1","2 gp"
Snake Oil,Common,"1","2 gp"
Waffle Iron (Imprint),Common,"1","2 gp"
Acid Flask (Lesser),Common,"1","3 gp"
Alarm Snare,Common,"1","3 gp"
Alchemical Fuse,Common,"1","3 gp"
Alchemist's Fire (Lesser),Common,"1","3 gp"
Antidote (Lesser),Common,"1","3 gp"
Antiplague (Lesser),Common,"1","3 gp"
Appetizing Flavor Snare,Rare,"1","3 gp"
Arsenic,Common,"1","3 gp"
Battering Snare,Common,"1","3 gp"
Blast Boots (Lesser),Uncommon,"1","3 gp"
Blight Bomb (Lesser),Common,"1","3 gp"
Blindpepper Tube,Uncommon,"1","3 gp"
Bookthief Brew,Uncommon,"1","3 gp"
Bottled Lightning (Lesser),Common,"1","3 gp"
Caltrop Snare,Common,"1","3 gp"
Cheetah's Elixir (Lesser),Common,"1","3 gp"
Clockwork Goggles,Uncommon,"1","3 gp"
Cryomister (Lesser),Uncommon,"1","3 gp"
Dread Ampoule (Lesser),Common,"1","3 gp"
Dust Pods,Uncommon,"1","3 gp"
Elixir of Life (Minor),Common,"1","3 gp"
Emergency Disguise,Uncommon,"1","3 gp"
Feather Token (Ladder),Common,"1","3 gp"
Forensic Dye,Common,"1","3 gp"
Frost Vial (Lesser),Common,"1","3 gp"
Gecko Potion,Common,"1","3 gp"
Ghost Charge (Lesser),Common,"1","3 gp"
Ghost Ink,Common,"1","3 gp"
Grit,Common,"1","3 gp"
Grolna,Uncommon,"1","3 gp"
Hampering Snare,Common,"1","3 gp"
Holy Water,Common,"1","3 gp"
Impact Foam Chassis (Lesser),Uncommon,"1","3 gp"
Lady's Blessing Oil,Common,"1","3 gp"
Lastwall Soup,Uncommon,"1","3 gp"
Leaper's Elixir (Lesser),Common,"1","3 gp"
Manacles (Simple),Common,"1","3 gp"
Marking Snare,Common,"1","3 gp"
Mud Bomb (Lesser),Uncommon,"1","3 gp"
Necrotic Bomb (Lesser),Common,"1","3 gp"
Nectar of Purification,Common,"1","3 gp"
Owlbear Claw,Common,"1","3 gp"
Pernicious Spore Bomb (Lesser),Uncommon,"1","3 gp"
Peshspine Grenade (Lesser),Uncommon,"1","3 gp"
Potion of Expeditious Retreat,Common,"1","3 gp"
Predictable Silver Piece,Common,"1","3 gp"
Ration Tonic,Common,"1","3 gp"
Redpitch Bomb (Lesser),Rare,"1","3 gp"
Replacement Filter (Level 1),Uncommon,"1","3 gp"
Runestone,Common,"1","3 gp"
Sack of Rotten Fruit,Common,"1","3 gp"
Searing Suture (Lesser),Uncommon,"1","3 gp"
Self-Immolating Note,Uncommon,"1","3 gp"
Shining Ammunition,Common,"1","3 gp"
Signaling Snare,Common,"1","3 gp"
Silver Tripod,Common,"1","3 gp"
Smoke Screen Snare (Lesser),Uncommon,"1","3 gp"
Smokestick (Lesser),Common,"1","3 gp"
Spear Frog Poison,Common,"1","3 gp"
Spike Snare,Common,"1","3 gp"
Star Grenade (Lesser),Uncommon,"1","3 gp"
Sunrod,Common,"1","3 gp"
Tallow Bomb (Lesser),Uncommon,"1","3 gp"
Tanglefoot Bag (Lesser),Common,"1","3 gp"
Thunderbird Tuft (Lesser),Common,"1","3 gp"
Thunderstone (Lesser),Common,"1","3 gp"
Twigjack Sack (Lesser),Uncommon,"1","3 gp"
Unholy Water,Common,"1","3 gp"
Water Bomb (Lesser),Uncommon,"1","3 gp"
1st-Level Scroll,Common,"1","4 gp"
Ablative Armor Plating (Lesser),Uncommon,"1","4 gp"
Ablative Shield Plating (Lesser),Uncommon,"1","4 gp"
Alignment Ampoule (Lesser),Uncommon,"1","4 gp"
Armor Latches,Common,"1","4 gp"
Bestial Mutagen (Lesser),Common,"1","4 gp"
Blood Sap,Common,"1","4 gp"
Cognitive Mutagen (Lesser),Common,"1","4 gp"
Drakeheart Mutagen (Lesser),Common,"1","4 gp"
Eagle-Eye Elixir (Lesser),Common,"1","4 gp"
Energy Mutagen (Lesser),Uncommon,"1","4 gp"
Explosive Mine (Lesser),Uncommon,"1","4 gp"
Flare Beacon (Lesser),Uncommon,"1","4 gp"
Giant Centipede Venom,Common,"1","4 gp"
Healing Potion (Minor),Common,"1","4 gp"
Juggernaut Mutagen (Lesser),Common,"1","4 gp"
Junk Bomb (Lesser),Uncommon,"1","4 gp"
Oil of Unlife (Minor),Common,"1","4 gp"
Poison Barbs Snare,Common,"1","4 gp"
Potency Crystal,Common,"1","4 gp"
Potion of Retaliation (Minor),Common,"1","4 gp"
Potion of Shared Memories,Common,"1","4 gp"
Pressure Bomb (Lesser),Uncommon,"1","4 gp"
Quicksilver Mutagen (Lesser),Common,"1","4 gp"
Serene Mutagen (Lesser),Common,"1","4 gp"
Shielding Salve,Common,"1","4 gp"
Silvertongue Mutagen (Lesser),Common,"1","4 gp"
Skeptic's Elixir (Lesser),Uncommon,"1","4 gp"
Sulfur Bomb (Lesser),Uncommon,"1","4 gp"
Vaccine (Minor),Rare,"1","4 gp"
Vexing Vapor (Lesser),Uncommon,"1","4 gp"
War Blood Mutagen (Lesser),Uncommon,"1","4 gp"
Wolf Fang,Common,"1","4 gp"
Burnished Plating,Uncommon,"1","5 gp"
Cantrip Deck (5-Pack),Common,"1","5 gp"
Ignitor,Common,"1","5 gp"
Impulse Control,Common,"1","5 gp"
Loaded Dice,Common,"1","5 gp"
Magical Hearing Aid,Common,"1","5 gp"
Mask (Rubber),Common,"1","5 gp"
Psychopomp Mask,Uncommon,"1","5 gp"
Throwing Shield,Uncommon,"1","5 gp"
Traveler's Chair,Common,"1","5 gp"
Twining Chains,Uncommon,"1","5 gp"
Waterproof Journal,Uncommon,"1","5 gp"
Dwarven Daisy (Lesser),Uncommon,"1","6 gp"
Traveler's Cloak,Uncommon,"1","7 gp"
Rhythm Bone,Uncommon,"1","8 gp"
Stiletto Pen,Uncommon,"1","8 gp"
Aeon Stone (Dull Gray),Uncommon,"1","9 gp"
Axe Musket,Uncommon,"1","10 gp"
Big Boom Gun,Uncommon,"1","10 gp"
Communication Bangle,Uncommon,"1","10 gp"
Dragon's Crest,Uncommon,"1","10 gp"
Dwarven Scattergun,Uncommon,"1","10 gp"
Explosive Dogslicer,Uncommon,"1","10 gp"
Ganjay Book,Uncommon,"1","10 gp"
Genealogy Mask,Uncommon,"1","10 gp"
Glittering Scarab,Uncommon,"1","10 gp"
Gnome Amalgam Musket,Uncommon,"1","10 gp"
Mask (Plague),Common,"1","10 gp"
Mechanical Torch,Common,"1","10 gp"
Polytool,Uncommon,"1","10 gp"
Repeating Hand Crossbow,Uncommon,"1","10 gp"
Sibling's Coin,Uncommon,"1","10 gp"
Spoon Gun,Uncommon,"1","10 gp"
Timepiece (Desktop Clock),Uncommon,"1","10 gp"
Double-barreled Musket,Uncommon,"1","11 gp"
Jezail,Uncommon,"1","11 gp"
Candlecap,Unique,"1","12 gp"
Dueling Pistol,Uncommon,"1","12 gp"
Scrollstaff,Uncommon,"1","12 gp"
Slippery Ribbon,Uncommon,"1","12 gp"
Switchscythe,Uncommon,"1","12 gp"
Three Peaked Tree,Uncommon,"1","12 gp"
Walking Cauldron,Common,"1","12 gp"
Gun Sword,Uncommon,"1","13 gp"
Hammer Gun,Uncommon,"1","13 gp"
Splint Mail,Common,"1","13 gp"
Clockwork Bookshelf,Uncommon,"1","15 gp"
Clockwork Megaphone,Uncommon,"1","15 gp"
Deployable Cover,Uncommon,"1","15 gp"
Everburning Torch,Common,"1","15 gp"
Grappling Gun (Clockwork),Uncommon,"1","15 gp"
Mudlily,Uncommon,"1","15 gp"
Reading Ring,Common,"1","15 gp"
Repeating Crossbow,Uncommon,"1","15 gp"
Ring of Discretion,Uncommon,"1","15 gp"
Net Launcher,Rare,"1","16 gp"
Slide Pistol,Uncommon,"1","16 gp"
Backpack Ballista,Uncommon,"1","18 gp"
Blade Launcher,Uncommon,"1","18 gp"
Half Plate,Common,"1","18 gp"
Backpack Catapult,Uncommon,"1","20 gp"
Bomb Launcher,Uncommon,"1","20 gp"
